,0,product,shop,price,CBD percentage
0,1,Pineapple,https://cbdhousemadrid.com/collections/cbd-flores/products/cbd-flor-pineapple,"€11,00","26,5%"
1,2,ACDC,https://cbdhousemadrid.com/collections/cbd-flores/products/acdc-25-cbd,"€11,00",25%
2,3,Lemon Haze,https://cbdhousemadrid.com/collections/cbd-flores/products/lemon-haze-cbd-house-madrid,"€11,00","23,5%"
3,4,Critical,https://cbdhousemadrid.com/collections/cbd-flores/products/critical-20-cbd,"€10,00",20%
4,5,Rollex OG,https://cbdhousemadrid.com/collections/cbd-flores/products/og-roll-17-cbd,"€15,00",17%
5,6,Royal Dutch,https://cbdhousemadrid.com/collections/cbd-flores/products/royal-dutch-18-cbd,"€15,00",18%
6,7,OG Kush,https://cbdhousemadrid.com/collections/cbd-flores/products/cbd-flor-og-kush-cbd-23-thc-0-19,"€10,00","17,5%"
8,9,Gorilla,https://cbdhousemadrid.com/collections/cbd-flores/products/cbd-flor-gorilla-cbd-20-thc-0-20,"€10,00",12%
9,10,Tropical Skunk,https://cbdhousemadrid.com/collections/cbd-flores/products/tropical-skunk,"€8,00",12%
10,11,Strawberry,https://cbdhousemadrid.com/collections/cbd-flores/products/strawberry-12-cbd,"€8,00",12%
11,12,Cogollitos CBD HOUSE Madrid,https://cbdhousemadrid.com/collections/cbd-flores/products/cbd-flor-buddys-cogollitos-cbd-house-madrid,"€20,00",12%
